      Source     Station     Index   Year   Yday MinDay MaxDay  Month     Lat     Lon  MinLat  MaxLat  MinLon  MaxLon Length    Nsamps  Avg_none  Min_none  Max_none   SD_none  Avg_snow  Min_snow  Max_snow   SD_snow Avg_thkns Min_thkns Max_thkns  SD_thkns
    CanCoast         HA1  13000026   1975   56.0   53.0   59.0      2   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         2   -999.00   -999.00   -999.00   -999.00      0.04      0.03      0.05      0.01      1.26      1.22      1.30      0.06
    CanCoast         HA1  13000027   1975   77.0   66.0   88.0      3   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         4   -999.00   -999.00   -999.00   -999.00      0.03      0.03      0.03      0.00      1.37      1.32      1.45      0.06
    CanCoast         HA1  13000028   1975  105.0   94.0  116.0      4   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         4   -999.00   -999.00   -999.00   -999.00      0.08      0.08      0.08      0.00      1.49      1.47      1.50      0.02
    CanCoast         HA1  13000029   1975  136.0  122.0  150.0      5   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         5   -999.00   -999.00   -999.00   -999.00      0.03      0.00      0.05      0.02      1.55      1.50      1.57      0.03
    CanCoast         HA1  13000030   1975  157.0  157.0  157.0      6   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         1   -999.00   -999.00   -999.00   -999.00      0.00      0.00      0.00   -999.00      1.40      1.40      1.40   -999.00
    CanCoast         HA1  13000031   1975  322.2  313.0  332.0     11   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         4   -999.00   -999.00   -999.00   -999.00      0.02      0.00      0.03      0.02      0.34      0.20      0.46      0.11
    CanCoast         HA1  13000032   1975  351.2  341.0  360.0     12   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         4   -999.00   -999.00   -999.00   -999.00      0.04      0.03      0.05      0.01      0.71      0.56      0.84      0.13
    CanCoast         HA1  13000033   1976   17.6    4.0   31.0      1   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         5   -999.00   -999.00   -999.00   -999.00      0.04      0.03      0.05      0.01      1.01      0.89      1.12      0.09
    CanCoast         HA1  13000034   1976   47.8   37.0   58.0      2   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         4   -999.00   -999.00   -999.00   -999.00      0.03      0.03      0.03      0.00      1.25      1.14      1.35      0.09
    CanCoast         HA1  13000035   1976   75.5   65.0   85.0      3   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         4   -999.00   -999.00   -999.00   -999.00      0.03      0.03      0.03      0.00      1.47      1.40      1.51      0.05
    CanCoast         HA1  13000036   1976  110.0   95.0  121.0      4   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         4   -999.00   -999.00   -999.00   -999.00      0.05      0.03      0.08      0.02      1.62      1.55      1.70      0.06
    CanCoast         HA1  13000037   1976  138.5  128.0  149.0      5   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         4   -999.00   -999.00   -999.00   -999.00      0.02      0.00      0.05      0.02      1.58      1.50      1.65      0.06
    CanCoast         HA1  13000038   1976  159.5  156.0  163.0      6   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         2   -999.00   -999.00   -999.00   -999.00      0.00      0.00      0.00      0.00      1.32      1.27      1.37      0.07
    CanCoast         HA1  13000039   1976  324.0  317.0  331.0     11   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         3   -999.00   -999.00   -999.00   -999.00      0.04      0.03      0.05      0.01      0.34      0.28      0.39      0.06
    CanCoast         HA1  13000040   1976  352.4  338.0  366.0     12   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         5   -999.00   -999.00   -999.00   -999.00      0.07      0.03      0.08      0.02      0.69      0.48      0.86      0.15
