      Source    Campaign     Index   Year   Yday MinDay MaxDay  Month     Lat     Lon  MinLat  MaxLat  MinLon  MaxLon Length    Nsamps  Avg_snow  Min_snow  Max_snow   SD_snow Avg_thunc Min_thunc Max_thunc  SD_thunc Avg_thkns Min_thkns Max_thkns  SD_thkns
IceBridge-V2 2009-GrnlV2  15000025   2009   92.7   92.7   92.7      4   82.74 -112.22   82.50   82.96 -113.42 -110.99     36       900      0.32      0.03      0.63      0.11      0.67      0.49      1.10      0.07      2.56      0.27     10.32      1.22
IceBridge-V2 2009-GrnlV2  15000026   2009   94.6   94.6   94.6      4   85.26 -121.00   85.13   85.38 -123.31 -118.62     40      1008      0.23      0.03      0.54      0.08      0.76      0.68      1.04      0.05      3.05      0.79      8.21      1.06
IceBridge-V2 2009-GrnlV2  15000027   2009   92.7   92.7   92.7      4   83.18 -109.71   82.96   83.41 -110.99 -108.22     34       867      0.30      0.05      0.77      0.10      0.75      0.50      1.10      0.14      2.14      0.24      6.90      1.04
IceBridge-V2 2009-GrnlV2  15000028   2009   94.6   94.6   94.6      4   85.49 -116.08   85.38   85.59 -118.61 -113.43     43      1080      0.23      0.05      0.51      0.08      0.77      0.69      0.96      0.05      3.22      0.79      7.46      1.02
IceBridge-V2 2009-GrnlV2  15000029   2009   92.7   92.7   92.7      4   83.63 -106.67   83.41   83.85 -108.21 -105.05     38       967      0.29      0.03      0.59      0.11      0.99      0.92      1.14      0.04      2.42      0.29      7.06      1.11
IceBridge-V2 2009-GrnlV2  15000030   2009   94.6   94.6   94.6      4   85.68 -110.76   85.59   85.77 -113.42 -107.76     41      1029      0.25      0.05      0.63      0.09      0.76      0.67      1.06      0.05      2.97      0.55      8.73      1.08
IceBridge-V2 2009-GrnlV2  15000031   2009   92.7   92.7   92.7      4   84.06 -103.28   83.85   84.25 -105.05 -101.49     46      1173      0.30      0.03      0.61      0.10      1.00      0.93      1.17      0.04      2.70      0.74      7.15      1.10
IceBridge-V2 2009-GrnlV2  15000032   2009   94.6   94.6   94.6      4   85.84 -104.78   85.77   85.90 -107.76 -101.67     44      1100      0.23      0.04      0.68      0.09      0.75      0.67      0.93      0.04      2.79      0.66      6.91      0.89
IceBridge-V2 2009-GrnlV2  15000033   2009   92.7   92.7   92.7      4   84.45  -99.44   84.26   84.65 -101.37  -97.21     45      1128      0.28      0.03      0.63      0.09      0.98      0.78      1.19      0.05      2.37      0.39      8.02      1.02
IceBridge-V2 2009-GrnlV2  15000034   2009   94.6   94.6   94.6      4   85.90  -98.21   85.84   85.93 -101.66  -95.06     44      1103      0.25      0.03      0.61      0.09      0.73      0.58      1.03      0.07      2.74      0.40      7.81      1.04
IceBridge-V2 2009-GrnlV2  15000035   2009   92.7   92.7   92.7      4   84.81  -95.09   84.65   84.95  -97.19  -93.18     29       743      0.24      0.03      0.58      0.09      0.94      0.70      1.09      0.07      2.09      0.42      5.99      1.01
IceBridge-V2 2009-GrnlV2  15000036   2009   94.6   94.6   94.7      4   85.76  -91.84   85.67   85.84  -95.05  -88.74     44      1106      0.27      0.04      0.67      0.11      0.76      0.67      1.06      0.05      2.65      0.65      7.89      1.04
IceBridge-V2 2009-GrnlV2  15000037   2009   93.2   92.6   94.7      4   85.36  -86.92   85.14   85.59  -90.26  -84.38     51      1282      0.29      0.06      0.77      0.09      0.71      0.47      1.13      0.12      2.41      0.31      9.65      1.22
IceBridge-V2 2009-GrnlV2  15000038   2009   94.1   92.6   94.7      4   85.55  -85.32   85.43   85.67  -88.74  -82.89     40      1017      0.30      0.03      0.68      0.10      0.71      0.45      1.02      0.11      2.52      0.62      7.83      1.10
IceBridge-V2 2009-GrnlV2  15000039   2009   93.7   92.6   94.7      4   85.45  -80.19   85.20   85.65  -82.96  -77.15     76      1920      0.27      0.03      0.62      0.09      0.67      0.45      1.25      0.12      2.62      0.48     11.12      1.25
IceBridge-V2 2009-GrnlV2  15000040   2009   93.5   92.6   94.7      4   85.27  -74.30   85.01   85.50  -77.73  -70.44     59      1477      0.26      0.03      0.68      0.09      0.74      0.53      1.09      0.08      2.67      0.67      9.12      1.18
IceBridge-V2 2009-GrnlV2  15000041   2009   94.7   94.7   94.7      4   84.87  -72.60   84.70   85.01  -74.75  -70.45     41      1024      0.28      0.06      0.58      0.09      0.77      0.68      1.05      0.05      2.99      0.82      8.62      1.21
IceBridge-V2 2009-GrnlV2  15000042   2009   94.7   94.7   94.7      4   84.54  -68.54   84.37   84.70  -70.43  -66.63     40      1016      0.33      0.03      0.75      0.10      0.81      0.67      1.13      0.07      3.52      0.34      9.30      1.45
IceBridge-V2 2009-GrnlV2  15000043   2009   94.7   94.7   94.7      4   84.12  -64.27   83.88   84.36  -66.61  -62.16     40      1017      0.36      0.11      0.79      0.12      0.94      0.70      1.35      0.11      3.67      0.77     11.08      1.73
